INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,ADM_RATE,TYPE,PLACE
Fairleigh Dickinson University-Florham Campus,Madison,NJ,7940,Middle States Commission on Higher Education,0,Not main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New Jersey,Mid East,0.8439,Large,Suburb
Knox College,Galesburg,IL,61401-9999,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Illinois,Great Lakes,0.7421,Distant,Town
Kean University,Union,NJ,7083,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New Jersey,Mid East,0.8598,Large,Suburb
State University of New York at New Paltz,New Paltz,NY,12561-2443,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.4135,Large,Suburb
University of Tulsa,Tulsa,OK,74104-3189,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oklahoma,Southwest,0.4077,Large,City
Platt College-Aurora,Aurora,CO,80014-3141,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Colorado,Rocky Mountains,0.2222,Large,City
California State University-Monterey Bay,Seaside,CA,93955-8001,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.5852,Midsize,Suburb
Clayton  State University,Morrow,GA,30260-0285,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Georgia,Southeast,0.5436,Large,Suburb
Union College,Schenectady,NY,12308-2311,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.3868,Small,City
College of Saint Benedict,Saint Joseph,MN,56374,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Minnesota,Plains,0.8338,Midsize,Suburb
Chamberlain University-Florida,Jacksonville,FL,32256,Higher Learning Commission,0,Not main campus,15,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Florida,Southeast,0.7857,Large,City
Gonzaga University,Spokane,WA,99258-0001,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Washington,Far West,0.6562,Midsize,City
Lewis & Clark College,Portland,OR,97219-7899,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oregon,Far West,0.7376,Large,City
California Baptist University,Riverside,CA,92504-3297,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.7955,Large,City
Oglethorpe University,Atlanta,GA,30319-2797,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Georgia,Southeast,0.6164,Large,Suburb
College for Creative Studies,Detroit,MI,48202,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Michigan,Great Lakes,0.4216,Large,City
D'Youville College,Buffalo,NY,14201-1084,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.996,Large,City
Sumner College,Portland,OR,97220,Accrediting Bureau of Health Education Schools,0,Main campus,1,Predominantly certificate-degree granting,Associate degree,Private for-profit,Oregon,Far West,1.0,Large,Suburb
University of Arizona,Tucson,AZ,85721-0066,Higher Learning Commission,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Public,Arizona,Southwest,0.8442,Large,City
University of North Carolina at Greensboro,Greensboro,NC,27402-6170,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,North Carolina,Southeast,0.8384,Large,City
Simpson University,Redding,CA,96003-8606,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.5,Small,City
California State University-San Bernardino,San Bernardino,CA,92407-2393,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.5483,Midsize,City
Elmhurst College,Elmhurst,IL,60126-3296,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.6736,Large,Suburb
Davidson College,Davidson,NC,28035,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,North Carolina,Southeast,0.195,Large,Suburb
Gordon College,Wenham,MA,1984,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.7547,Large,Suburb
Herzing University-Winter Park,Winter Park,FL,32792,Higher Learning Commission,0,Not main campus,10,Predominantly associate's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.9412,Large,Suburb
University of Delaware,Newark,DE,19716,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Delaware,Mid East,0.6639,Large,Suburb
Lake Forest College,Lake Forest,IL,60045-2399,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.5792,Large,Suburb
Carrington College-Boise,Boise,ID,83704-8742,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,Main campus,3,Predominantly certificate-degree granting,Associate degree,Private for-profit,Idaho,Rocky Mountains,0.9565,Midsize,City
Carrington College-Portland,Portland,OR,97232-1309,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,Main campus,2,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Oregon,Far West,0.8361,Large,City
University of North Florida,Jacksonville,FL,32224-7699,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Florida,Southeast,0.6108,Large,City
Lewis University,Romeoville,IL,60446-2200,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.5776,Large,Suburb
Bay State College,Boston,MA,2116,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Massachusetts,New England,0.6927,Large,City
Lawrence University,Appleton,WI,54911,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Wisconsin,Great Lakes,0.6248,Small,City
Franklin and Marshall College,Lancaster,PA,17604-3003,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Pennsylvania,Mid East,0.3532,Small,City
Wagner College,Staten Island,NY,10301-4495,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.6981,Large,City
AdventHealth University,Orlando,FL,32803,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.8689,Large,City
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,7666,Middle States Commission on Higher Education,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New Jersey,Mid East,0.8924,Large,Suburb
Calvin University,Grand Rapids,MI,49546,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Michigan,Great Lakes,0.7897,Midsize,City
Lamar University,Beaumont,TX,77705,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Texas,Southwest,0.8432,Midsize,City
Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,Middle States Commission on Higher Education,0,Not main campus,23,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Pennsylvania,Mid East,0.8723,Large,Suburb
University of La Verne,La Verne,CA,91750-4401,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.5089,Large,Suburb
University of Missouri-St Louis,Saint Louis,MO,63121-4400,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Missouri,Plains,0.7255,Large,Suburb
Rowan University,Glassboro,NJ,8028,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New Jersey,Mid East,0.7272,Large,Suburb
Sarah Lawrence College,Bronxville,NY,10708,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.5585,Large,Suburb
Skidmore College,Saratoga Springs,NY,12866,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.2693,Small,Suburb
Sonoma State University,Rohnert Park,CA,94928-3609,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.8965,Large,Suburb
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,46202-5143,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Indiana,Great Lakes,0.8112,Large,City
Hendrix College,Conway,AR,72032-3080,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Arkansas,Southeast,0.7217,Small,City
Christian Brothers University,Memphis,TN,38104,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Tennessee,Southeast,0.5601,Large,City
University of Miami,Coral Gables,FL,33146,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.3215,Large,Suburb
Drew University,Madison,NJ,7940,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New Jersey,Mid East,0.6922,Large,Suburb
The College of Wooster,Wooster,OH,44691,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Ohio,Great Lakes,0.5418,Distant,Town
Fosbre Academy of Hair Design,Olympia,WA,98501-1018,National Accrediting Commission of Career Arts and Sciences,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Washington,Far West,0.9267,Small,City
Coe College,Cedar Rapids,IA,52402-5092,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Iowa,Plains,0.6693,Midsize,City
Lesley University,Cambridge,MA,02138-2790,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.7572,Midsize,City
Arcadia University,Glenside,PA,19038-3295,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.6416,Large,Suburb
La Salle University,Philadelphia,PA,19141-1199,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.8118,Large,City
California Lutheran University,Thousand Oaks,CA,91360-2787,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.7147,Midsize,City
Northwest HVAC/R Training Center,Spokane,WA,99207,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,Washington,Far West,0.8824,Midsize,City
Rider University,Lawrenceville,NJ,08648-3099,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New Jersey,Mid East,0.6967,Large,Suburb
Kennesaw State University,Kennesaw,GA,30144,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Georgia,Southeast,0.5794,Large,Suburb
Connecticut College,New London,CT,06320-4196,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Connecticut,New England,0.3776,Small,City
Saint Charles Borromeo Seminary-Overbrook,Wynnewood,PA,19096,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.913,Large,Suburb
Pine Manor College,Chestnut Hill,MA,2467,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.4105,Large,Suburb
Worcester State University,Worcester,MA,01602-2597,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Massachusetts,New England,0.7785,Midsize,City
Alverno College,Milwaukee,WI,53234-3922,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Wisconsin,Great Lakes,0.6978,Large,City
University of Kansas,Lawrence,KS,66045,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Kansas,Plains,0.9171,Small,City
Oakland University,Rochester Hills,MI,48309-4401,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Michigan,Great Lakes,0.8391,Large,Suburb
Pennsylvania College of Art and Design,Lancaster,PA,17608-0059,National Association of Schools of Arts and Design,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Pennsylvania,Mid East,0.4352,Small,City
Colorado College,Colorado Springs,CO,80903,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Colorado,Rocky Mountains,0.15,Large,City
Northwest University,Kirkland,WA,98083-0579,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Washington,Far West,0.9521,Large,Suburb
University of Notre Dame,Notre Dame,IN,46556,Higher Learning Commission,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Indiana,Great Lakes,0.1771,Large,Suburb
Florida Polytechnic University,Lakeland,FL,33805-8531,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Florida,Southeast,0.5066,Fringe,Rural
Wheaton College,Norton,MA,02766-2322,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Massachusetts,New England,0.6984,Large,Suburb
Tulane University of Louisiana,New Orleans,LA,70118-5698,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Louisiana,Southeast,0.1733,Large,City
Emerson College,Boston,MA,02116-4624,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.3564,Large,City
Southern Westchester BOCES-Practical Nursing Program,Harrison,NY,10528,New York State Board of Regents State Education Department Office of the Professions (Public Postsecondary Vocational Education Practical Nursing),0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,New York,Mid East,0.3544,Large,Suburb
Berklee College of Music,Boston,MA,2215,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.4764,Large,City
Whitworth University,Spokane,WA,99251,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Washington,Far West,0.9078,Large,Suburb
Milwaukee School of Engineering,Milwaukee,WI,53202-3109,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Wisconsin,Great Lakes,0.6311,Large,City
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,32114-3900,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.655,Small,City
Worcester Polytechnic Institute,Worcester,MA,01609-2280,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.4159,Midsize,City
Old Dominion University,Norfolk,VA,23529,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Virginia,Southeast,0.8699,Midsize,City
University of Baltimore,Baltimore,MD,21201-5720,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Maryland,Mid East,0.784,Large,City
Colgate University,Hamilton,NY,13346-1398,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.2493,Distant,Town
Concordia College-New York,Bronxville,NY,10708-1998,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.8133,Large,Suburb
Manhattan College,Riverdale,NY,10471-4098,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7455,Large,City
Fresno Pacific University,Fresno,CA,93702-4709,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.8511,Large,City
Samaritan Hospital School of Nursing,Troy,NY,12065,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private nonprofit,New York,Mid East,1.0,Small,City
Emmanuel College,Boston,MA,2115,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.77,Large,City
Blue Cliff Career College,Mobile,AL,36606,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Alabama,Southeast,0.9,Midsize,City
Felician University,Lodi,NJ,7644,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New Jersey,Mid East,0.8055,Large,Suburb
New York School of Interior Design,New York,NY,10021,National Association of Schools of Arts and Design,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.2175,Large,City
Centre College,Danville,KY,40422-1394,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Kentucky,Southeast,0.7306,Distant,Town
Linfield College-McMinnville Campus,McMinnville,OR,97128-6894,Northwest Commission on Colleges and Universities,0,Main campus,2,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Oregon,Far West,0.8104,Distant,Town
Pennsylvania Academy of the Fine Arts,Philadelphia,PA,19102-1510,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.9017,Large,City
Central Connecticut State University,New Britain,CT,6050,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Connecticut,New England,0.6724,Large,Suburb
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Louisiana,Southeast,0.7423,Midsize,City
James Madison University,Harrisonburg,VA,22807,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Virginia,Southeast,0.7113,Small,City
Siena College,Loudonville,NY,12211-1462,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.8014,Large,Suburb
Colorado School of Mines,Golden,CO,80401,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Colorado,Rocky Mountains,0.4919,Large,Suburb
Regis University,Denver,CO,80221-1099,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Colorado,Rocky Mountains,0.6029,Large,City
Virginia Military Institute,Lexington,VA,24450-0304,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Virginia,Southeast,0.513,Distant,Town
William Jessup University,Rocklin,CA,95765-3707,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.5853,Fringe,Rural
Kettering University,Flint,MI,48504-6214,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Michigan,Great Lakes,0.7027,Small,City
SUNY at Purchase College,Purchase,NY,10577-1400,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.6505,Large,Suburb
College of the Holy Cross,Worcester,MA,01610-2395,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Massachusetts,New England,0.3801,Midsize,City
Western Connecticut State University,Danbury,CT,06810-6826,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Connecticut,New England,0.7924,Small,City
Bethel University,Saint Paul,MN,55112,Higher Learning Commission,0,Main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Minnesota,Plains,0.7051,Large,Suburb
SUNY Maritime College,Throggs Neck,NY,10465-4198,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.7166,Large,City
Faith Theological Seminary,Baltimore,MD,21212-2624,Transnational Association of Christian Colleges and Schools,1,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Maryland,Mid East,0.5,Large,City
Saline County Career Center,Marshall,MO,65340-1698,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Missouri,Plains,0.6667,Remote,Town
Gallaudet University,Washington,DC,20002-3695,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,District of Columbia,Mid East,0.5706,Large,City
St Francis College,Brooklyn Heights,NY,11201-4305,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7664,Large,City
Emmaus Bible College,Dubuque,IA,52001-3096,Higher Learning Commission,0,Main campus,1,Predominantly certificate-degree granting,Bachelor's degree,Private nonprofit,Iowa,Plains,0.9492,Small,City
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging,Plainfield,NJ,7061,Accreditation Commission for Education in Nursing,0,Not main campus,2,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,New Jersey,Mid East,0.3333,Large,Suburb
University of Florida-Online,Gainesville,FL,32611,Southern Association of Colleges and Schools Commission on Colleges,0,Not main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Florida,Southeast,0.614,Midsize,City
Drake University,Des Moines,IA,50311-4505,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Iowa,Plains,0.6766,Midsize,City
Goucher College,Baltimore,MD,21204-2794,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Maryland,Mid East,0.8041,Small,City
University of St Thomas,Saint Paul,MN,55105-1078,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Minnesota,Plains,0.8039,Large,City
Pennsylvania State University-World Campus,University Park,PA,16802-1503,Middle States Commission on Higher Education,0,Not main campus,23,Predominantly bachelor's-degree granting,Graduate degree,Public,Pennsylvania,Mid East,0.5426,Fringe,Rural
DeVry University-Virginia,Arlington,VA,22202,Higher Learning Commission,0,Not main campus,17,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,Virginia,Southeast,0.8571,Midsize,City
University of Pittsburgh-Greensburg,Greensburg,PA,15601-5860,Middle States Commission on Higher Education,0,Not main campus,5,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Pennsylvania,Mid East,0.6403,Large,Suburb
Rolf Institute of Structural Integration,Boulder,CO,80301-0000,Commission on Massage Therapy Accreditation,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,Colorado,Rocky Mountains,1.0,Midsize,City
Capitol Technology University,Laurel,MD,20708,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Maryland,Mid East,0.689,Large,Suburb
Western Oregon University,Monmouth,OR,97361-1394,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Oregon,Far West,0.8447,Fringe,Town
Metropolitan State University of Denver,Denver,CO,80217-3362,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Colorado,Rocky Mountains,0.5945,Large,City
University of Wisconsin-Green Bay,Green Bay,WI,54311-7001,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Wisconsin,Great Lakes,0.7858,Midsize,City
University of Iowa,Iowa City,IA,52242-1316,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Iowa,Plains,0.8267,Small,City
Galaxy Medical College,North Hollywood,CA,91606-1593,Accrediting Bureau of Health Education Schools,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,California,Far West,1.0,Large,City
University of Denver,Denver,CO,80208,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Colorado,Rocky Mountains,0.5647,Large,City
The University of Texas at Tyler,Tyler,TX,75799-6699,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Texas,Southwest,0.7829,Midsize,City
Lafayette College,Easton,PA,18042-1768,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Pennsylvania,Mid East,0.2939,Large,Suburb
University of Cincinnati-Main Campus,Cincinnati,OH,45221-0063,Higher Learning Commission,0,Main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Public,Ohio,Great Lakes,0.7312,Large,City
University of Wisconsin-Oshkosh,Oshkosh,WI,54901,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Wisconsin,Great Lakes,0.7084,Small,City
Casal Institute of Nevada,Las Vegas,NV,89119,National Accrediting Commission of Career Arts and Sciences,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Nevada,Far West,1.0,Midsize,City
Houghton College,Houghton,NY,14744,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.9509,Remote,Rural
Kansas City Art Institute,Kansas City,MO,64111-1874,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Missouri,Plains,0.692,Large,City
