INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,ADM_RATE,TYPE,PLACE
Monty Tech,Fitchburg,MA,1420,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Massachusetts,New England,1.0,Midsize,Suburb
Monteclaro Escuela de Hoteleria y Artes Culinarias,Rio Grande,PR,00745-0000,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private nonprofit,Puerto Rico,Outlying Areas,1.0,Large,Suburb
Modern Hairstyling Institute-Carolina,Carolina,PR,985,National Accrediting Commission of Career Arts and Sciences,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Puerto Rico,Outlying Areas,1.0,Midsize,City
Texas County Technical College,Houston,MO,65483,Accrediting Bureau of Health Education Schools,0,Main campus,1,Predominantly certificate-degree granting,Associate degree,Private nonprofit,Missouri,Plains,0.5,Remote,Rural
Orleans Niagara BOCES-Practical Nursing Program,Sanborn,NY,14132,New York State Board of Regents State Education Department Office of the Professions (Public Postsecondary Vocational Education Practical Nursing),0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,New York,Mid East,0.4638,Fringe,Rural
Family of Faith Christian University,Shawnee,OK,74802,Association for Bibical Higher Educaiton,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Oklahoma,Southwest,0.25,Distant,Rural
Beis Medrash Heichal Dovid,Far Rockaway,NY,11691-4433,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7636,Large,City
Health Works Institute,Bozeman,MT,59718,,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Montana,Rocky Mountains,0.9,Remote,Town
SABER College,Miami,FL,33134,Council on Occupational Education,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private nonprofit,Florida,Southeast,0.7368,Large,City
Bais Medrash Toras Chesed,Lakewood,NJ,8701,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New Jersey,Mid East,0.5965,Small,City
Center for Natural Wellness School of Massage Therapy,Albany,NY,12205,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,New York,Mid East,0.8,Large,Suburb
Visible Music College,Memphis,TN,38103,Transnational Association of Christian Colleges and Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Tennessee,Southeast,1.0,Large,City
Yeshivas Be'er Yitzchok,Elizabeth,NJ,7208,Association of Institutions of Jewish Studies,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New Jersey,Mid East,0.75,Large,Suburb
Yeshiva Toras Chaim,Lakewood,NJ,8701,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New Jersey,Mid East,0.6237,Large,Suburb
